,aID,company_name,vacancies,post_time,result,sentence,成就感,學習成長,創新,薪資,福利,管理制度,工作氛圍,同事互動,主管風格,工作地點,公司規模,工作環境,產業前景,多元性,企業社會責任,企業永續目標,變化性,工學院,面試,徵才,實習,工作,離職,轉職,新鮮人,畢業,出路,能力,招募人員,正向,負向,sentiment_value,p_year_month
0,42,裕隆集團_裕隆汽車製造股份有限公司,生產技術工程師,2023.03.06,公司算是老公司，所以做法非常老派，但是非常穩定可以穩穩的待。@@@@====@@@@====1.因為要解析車子的問題但是因為公司內部的流程做法讓解析的動作會變得非常的困難。@@@@====@@@@====2.上層主管會使用各種活動減少成本及提高產能，但是這個活動本身就會造成工程師很多的困擾卻還是一直壓迫工程師。@@@@====@@@@====如果想進裕隆的朋友是非常喜歡寫報告及報告的人那這一間你會非常適合同一份報告，你可以寫三次分不同的場合報告，然後每個主管又有每個主管的看法跟意見是一個非常沒效率的事情,公司算是老公司，所以做法非常老派，但是非常穩定可以穩穩的待。,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-03
1,42,裕隆集團_裕隆汽車製造股份有限公司,生產技術工程師,2023.03.06,公司算是老公司，所以做法非常老派，但是非常穩定可以穩穩的待。@@@@====@@@@====1.因為要解析車子的問題但是因為公司內部的流程做法讓解析的動作會變得非常的困難。@@@@====@@@@====2.上層主管會使用各種活動減少成本及提高產能，但是這個活動本身就會造成工程師很多的困擾卻還是一直壓迫工程師。@@@@====@@@@====如果想進裕隆的朋友是非常喜歡寫報告及報告的人那這一間你會非常適合同一份報告，你可以寫三次分不同的場合報告，然後每個主管又有每個主管的看法跟意見是一個非常沒效率的事情,1.因為要解析車子的問題但是因為公司內部的流程做法讓解析的動作會變得非常的困難。,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,-2,2023-03
2,42,裕隆集團_裕隆汽車製造股份有限公司,生產技術工程師,2023.03.06,公司算是老公司，所以做法非常老派，但是非常穩定可以穩穩的待。@@@@====@@@@====1.因為要解析車子的問題但是因為公司內部的流程做法讓解析的動作會變得非常的困難。@@@@====@@@@====2.上層主管會使用各種活動減少成本及提高產能，但是這個活動本身就會造成工程師很多的困擾卻還是一直壓迫工程師。@@@@====@@@@====如果想進裕隆的朋友是非常喜歡寫報告及報告的人那這一間你會非常適合同一份報告，你可以寫三次分不同的場合報告，然後每個主管又有每個主管的看法跟意見是一個非常沒效率的事情,2.上層主管會使用各種活動減少成本及提高產能，但是這個活動本身就會造成工程師很多的困擾卻還是一直壓迫工程師。,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,-2,2023-03
3,42,裕隆集團_裕隆汽車製造股份有限公司,生產技術工程師,2023.03.06,公司算是老公司，所以做法非常老派，但是非常穩定可以穩穩的待。@@@@====@@@@====1.因為要解析車子的問題但是因為公司內部的流程做法讓解析的動作會變得非常的困難。@@@@====@@@@====2.上層主管會使用各種活動減少成本及提高產能，但是這個活動本身就會造成工程師很多的困擾卻還是一直壓迫工程師。@@@@====@@@@====如果想進裕隆的朋友是非常喜歡寫報告及報告的人那這一間你會非常適合同一份報告，你可以寫三次分不同的場合報告，然後每個主管又有每個主管的看法跟意見是一個非常沒效率的事情,如果想進裕隆的朋友是非常喜歡寫報告及報告的人那這一間你會非常適合同一份報告，你可以寫三次分不同的場合報告，然後每個主管又有每個主管的看法跟意見是一個非常沒效率的事情,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,3,2023-03
4,43,裕隆集團_裕隆汽車製造股份有限公司,工程師,2023.02.28,報告很多，實用價值低。@@@@====@@@@====會議很多，有開等於沒開，開完一堆追蹤。@@@@====@@@@====對主要專精車輛事業不如中華汽車。@@@@====@@@@====老派管理思維。@@@@====@@@@====總經理罵人已達羞辱等級。@@@@====@@@@====老鳥很冷莫，也可能是流動性高到對新人提不起熱情。@@@@====@@@@====想學報告製作的可以來。@@@@====@@@@====抗壓、奴性強可來。@@@@====@@@@====不在意工作樂趣可來。@@@@====@@@@====不追求成就感可來。@@@@====@@@@====想比傳產還高年終者可來,報告很多，實用價值低。,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-02
5,43,裕隆集團_裕隆汽車製造股份有限公司,工程師,2023.02.28,報告很多，實用價值低。@@@@====@@@@====會議很多，有開等於沒開，開完一堆追蹤。@@@@====@@@@====對主要專精車輛事業不如中華汽車。@@@@====@@@@====老派管理思維。@@@@====@@@@====總經理罵人已達羞辱等級。@@@@====@@@@====老鳥很冷莫，也可能是流動性高到對新人提不起熱情。@@@@====@@@@====想學報告製作的可以來。@@@@====@@@@====抗壓、奴性強可來。@@@@====@@@@====不在意工作樂趣可來。@@@@====@@@@====不追求成就感可來。@@@@====@@@@====想比傳產還高年終者可來,會議很多，有開等於沒開，開完一堆追蹤。,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-02
6,43,裕隆集團_裕隆汽車製造股份有限公司,工程師,2023.02.28,報告很多，實用價值低。@@@@====@@@@====會議很多，有開等於沒開，開完一堆追蹤。@@@@====@@@@====對主要專精車輛事業不如中華汽車。@@@@====@@@@====老派管理思維。@@@@====@@@@====總經理罵人已達羞辱等級。@@@@====@@@@====老鳥很冷莫，也可能是流動性高到對新人提不起熱情。@@@@====@@@@====想學報告製作的可以來。@@@@====@@@@====抗壓、奴性強可來。@@@@====@@@@====不在意工作樂趣可來。@@@@====@@@@====不追求成就感可來。@@@@====@@@@====想比傳產還高年終者可來,對主要專精車輛事業不如中華汽車。,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-02
7,43,裕隆集團_裕隆汽車製造股份有限公司,工程師,2023.02.28,報告很多，實用價值低。@@@@====@@@@====會議很多，有開等於沒開，開完一堆追蹤。@@@@====@@@@====對主要專精車輛事業不如中華汽車。@@@@====@@@@====老派管理思維。@@@@====@@@@====總經理罵人已達羞辱等級。@@@@====@@@@====老鳥很冷莫，也可能是流動性高到對新人提不起熱情。@@@@====@@@@====想學報告製作的可以來。@@@@====@@@@====抗壓、奴性強可來。@@@@====@@@@====不在意工作樂趣可來。@@@@====@@@@====不追求成就感可來。@@@@====@@@@====想比傳產還高年終者可來,老派管理思維。,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-02
8,43,裕隆集團_裕隆汽車製造股份有限公司,工程師,2023.02.28,報告很多，實用價值低。@@@@====@@@@====會議很多，有開等於沒開，開完一堆追蹤。@@@@====@@@@====對主要專精車輛事業不如中華汽車。@@@@====@@@@====老派管理思維。@@@@====@@@@====總經理罵人已達羞辱等級。@@@@====@@@@====老鳥很冷莫，也可能是流動性高到對新人提不起熱情。@@@@====@@@@====想學報告製作的可以來。@@@@====@@@@====抗壓、奴性強可來。@@@@====@@@@====不在意工作樂趣可來。@@@@====@@@@====不追求成就感可來。@@@@====@@@@====想比傳產還高年終者可來,總經理罵人已達羞辱等級。,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,2023-02
9,43,裕隆集團_裕隆汽車製造股份有限公司,工程師,2023.02.28,報告很多，實用價值低。@@@@====@@@@====會議很多，有開等於沒開，開完一堆追蹤。@@@@====@@@@====對主要專精車輛事業不如中華汽車。@@@@====@@@@====老派管理思維。@@@@====@@@@====總經理罵人已達羞辱等級。@@@@====@@@@====老鳥很冷莫，也可能是流動性高到對新人提不起熱情。@@@@====@@@@====想學報告製作的可以來。@@@@====@@@@====抗壓、奴性強可來。@@@@====@@@@====不在意工作樂趣可來。@@@@====@@@@====不追求成就感可來。@@@@====@@@@====想比傳產還高年終者可來,老鳥很冷莫，也可能是流動性高到對新人提不起熱情。,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2023-02
